library,term,pval,adj_pval,combined_score,n_genes,genes
Reactome,Collagen Degradation R-HSA-1442490,6.604301464863632e-11,3.1214014291829167e-09,1077.19,8,MMP12;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9;ELANE
Reactome,Metabolism R-HSA-1430728,1.4569449657775978e-10,6.541682896341414e-09,94.23,37,ACHE;MAOA;ALOX15;SLC2A1;ALOX12;AHR;PIK3R1;CYP2C19;CYP3A4;PTGS2;CYP19A1;PTGS1;TTR;PSMB5;CA2;CA5A;ALOX5;SLCO2B1;HSD17B2;AKT1;CD38;XDH;ESRRA;CREBBP;UGT1A1;IDH1;PRKCA;CYP2C9;DAO;PKM;FABP4;PIK3CA;CYP1A2;CYP1A1;PPARG;PPARA;ABCG2
Reactome,Metabolism Of Lipids R-HSA-556833,1.97846663613399e-10,8.460300186896777e-09,141.22,22,ESRRA;ACHE;CREBBP;ALOX15;PRKCA;ALOX12;AHR;PIK3R1;CYP2C19;CYP3A4;PTGS2;CYP19A1;PTGS1;CYP2C9;FABP4;PIK3CA;ALOX5;CYP1A2;HSD17B2;CYP1A1;PPARG;PPARA
Reactome,PI3K/AKT Signaling In Cancer R-HSA-2219528,5.279590000471801e-10,2.1550326456471262e-08,419.79,10,GSK3B;CREB1;PIK3CA;FLT3;SRC;AKT1;PIK3R1;ESR1;ESR2;EGFR
Reactome,Activation Of Matrix Metalloproteinases R-HSA-1592389,6.932486978118921e-10,2.7066840462394742e-08,1034.43,7,MMP7;MMP13;MMP1;MMP2;MMP3;MMP9;ELANE
Reactome,MAPK1/MAPK3 Signaling R-HSA-5684996,7.893747010904191e-10,2.953577006579985e-08,214.62,14,SRC;FLT3;BRAF;PIK3R1;EGFR;PTK2;IL2;PSMB5;PIK3CA;CDK1;MAPK1;TEK;JAK2;JAK3
Reactome,Transcriptional Regulation By RUNX2 R-HSA-8878166,1.8197883584083257e-09,6.536679783402706e-08,344.44,10,ESRRA;GSK3B;MMP13;PSMB5;CDK4;SRC;CDK1;AKT1;MAPK1;ESR1
Reactome,VEGFA-VEGFR2 Pathway R-HSA-4420097,3.4700142926598373e-09,1.198489551849436e-07,386.2,9,PIK3CA;SRC;AXL;KDR;AKT1;CTNNB1;PRKCA;PIK3R1;PTK2
Reactome,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,4.12901502136514e-09,1.324234103280677e-07,1162.17,6,CREB1;BCL2;AKT1;MAPK1;EGFR;PTK2
Reactome,Xenobiotics R-HSA-211981,4.12901502136514e-09,1.324234103280677e-07,1162.17,6,CYP2C9;CYP1A2;CYP1A1;AHR;CYP2C19;CYP3A4
Reactome,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",5.9004046882943825e-09,1.8270908310649503e-07,652.73,7,SYK;PIK3CA;PRKCA;PIK3R1;JAK2;JAK3;IL2
Reactome,RAF/MAP Kinase Cascade R-HSA-5673001,6.187659409751762e-09,1.8521727166523605e-07,181.47,13,SRC;FLT3;BRAF;PIK3R1;EGFR;PTK2;IL2;PSMB5;PIK3CA;MAPK1;TEK;JAK2;JAK3
Reactome,Signaling By ALK R-HSA-201556,6.99646885456496e-09,2.026719042386882e-07,1017.28,6,ALK;PIK3CA;SRC;PIK3R1;HIF1A;JAK3
Reactome,Signaling By VEGF R-HSA-194138,7.911991309265709e-09,2.2203025611626894e-07,333.92,9,PIK3CA;SRC;AXL;KDR;AKT1;CTNNB1;PRKCA;PIK3R1;PTK2
Reactome,Phase I - Functionalization Of Compounds R-HSA-211945,9.399703046168554e-09,2.5578585865028366e-07,323.83,9,CYP2C9;MAOA;CYP1A2;CYP1A1;AHR;CYP2C19;CYP3A4;CYP19A1;PTGS1
Reactome,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",1.1126935823738339e-08,2.9388201087403024e-07,314.23,9,PIK3CA;FLT3;SRC;AKT1;MAPK1;PIK3R1;ESR1;ESR2;EGFR
Reactome,Degradation Of Extracellular Matrix R-HSA-1474228,1.4238435633324001e-08,3.6531757710642724e-07,300.65,9,ADAMTS4;MMP12;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9;ELANE
Reactome,Negative Regulation Of PI3K/AKT Network R-HSA-199418,1.9556943719844974e-08,4.878370961227996e-07,283.95,9,PIK3CA;FLT3;SRC;AKT1;MAPK1;PIK3R1;ESR1;ESR2;EGFR
Reactome,Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907,3.521761150632045e-08,8.457445569315977e-07,1280.17,5,CREB1;MMP3;MAPK1;PRKCA;EGFR
Reactome,Programmed Cell Death R-HSA-5357801,3.5788745170824845e-08,8.457445569315977e-07,179.5,11,PSMB5;DAPK1;LMNA;BCL2;AKT1;CTNNB1;MAPK1;MAPT;TP53;ELANE;PTK2
Reactome,Hemostasis R-HSA-109582,3.714726555529261e-08,8.553396017603272e-07,101.56,17,APP;KDM1A;SYK;MMP1;SRC;PRKCA;PIK3R1;PTK2;TTR;CDK5;PIK3CA;THPO;AKT1;MAPK1;TEK;JAK2;TP53
Reactome,Generic Transcription Pathway R-HSA-212436,6.89706664485104e-08,1.5483914617690584e-06,69.05,24,ESRRA;L3MBTL1;GSK3B;CREBBP;SRC;PRKCA;ESR1;EGFR;ESR2;NFKB1;IL2;CREB1;MMP13;CDK6;PSMB5;CDK5;CDK4;CDK1;AKT1;CTNNB1;MAPK1;PPARG;PPARA;TP53
Reactome,Biosynthesis Of Maresins R-HSA-9018682,7.385697551120928e-08,1.5791324764063316e-06,2914.75,4,CYP2C9;ALOX5;CYP1A2;CYP3A4
Reactome,Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670,7.385697551120928e-08,1.5791324764063316e-06,2914.75,4,CYP2C9;CYP1A2;CYP1A1;CYP2C19
Reactome,Drug ADME R-HSA-9748784,8.013661050380891e-08,1.6735506100562885e-06,275.41,8,CYP2C9;ABCB1;UGT1A1;SLCO2B1;CYP2C19;CYP3A4;XDH;ABCG2
Reactome,Apoptosis R-HSA-109581,8.747642182981101e-08,1.7853142455265974e-06,179.93,10,PSMB5;DAPK1;LMNA;BCL2;AKT1;CTNNB1;MAPK1;MAPT;TP53;PTK2
Reactome,Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,9.697408404541638e-08,1.93517172161742e-06,354.5,7,CYP2C9;CYP1A2;CYP1A1;AHR;CYP2C19;CYP3A4;CYP19A1
Reactome,GPCR Downstream Signaling R-HSA-388396,1.0461785026031288e-07,2.0423223811687164e-06,88.4,17,APP;SRC;MMP3;PRKCA;PIK3R1;EGFR;TSHR;CREB1;CDK5;PIK3CA;CXCR1;ADORA3;GRK6;BTK;AKT1;NLRP3;MAPK1
Reactome,Extracellular Matrix Organization R-HSA-1474244,1.2845197945986776e-07,2.4542527139353457e-06,128.65,12,MMP12;ADAMTS4;MMP7;MMP13;TTR;MMP1;MMP2;MMP3;KDR;PRKCA;MMP9;ELANE
Reactome,Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816,1.3234837894990924e-07,2.4760175895212186e-06,2248.86,4,CYP2C9;CYP1A2;CYP1A1;CYP2C19
Reactome,Signaling By SCF-KIT R-HSA-1433557,1.4782730559956143e-07,2.709161641396044e-06,472.96,6,PIK3CA;SRC;PRKCA;PIK3R1;JAK2;MMP9
Reactome,Interleukin-2 Family Signaling R-HSA-451927,1.9705849167761103e-07,3.5391705105298944e-06,439.83,6,SYK;PIK3CA;PIK3R1;JAK2;JAK3;IL2
Reactome,"Platelet Activation, Signaling And Aggregation R-HSA-76002",2.710609206889606e-07,4.7727981721311105e-06,128.04,11,APP;TTR;PIK3CA;THPO;SYK;SRC;AKT1;MAPK1;PRKCA;PIK3R1;PTK2
Reactome,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,3.4587092242418046e-07,5.972924775709886e-06,266.62,7,PIK3CA;FLT3;SRC;PIK3R1;ESR1;EGFR;ESR2
Reactome,Signaling By ERBB2 R-HSA-1227986,3.812745367476797e-07,6.460085547158799e-06,371.98,6,PIK3CA;SRC;AKT1;PRKCA;PIK3R1;EGFR
Reactome,RNA Polymerase II Transcription R-HSA-73857,4.1587573543820697e-07,6.9158594522872196e-06,55.34,24,ESRRA;L3MBTL1;GSK3B;CREBBP;SRC;PRKCA;ESR1;EGFR;ESR2;NFKB1;IL2;CREB1;MMP13;CDK6;PSMB5;CDK5;CDK4;CDK1;AKT1;CTNNB1;MAPK1;PPARG;PPARA;TP53
Reactome,Interleukin Receptor SHC Signaling R-HSA-912526,4.3868578580405505e-07,7.128083703585277e-06,595.35,5,PIK3CA;PIK3R1;JAK2;JAK3;IL2
Reactome,G Alpha (Q) Signaling Events R-HSA-416476,4.445130149229126e-07,7.128083703585277e-06,134.45,10,APP;CREB1;PIK3CA;MMP3;BTK;NLRP3;MAPK1;PRKCA;PIK3R1;EGFR
Reactome,Signaling By GPCR R-HSA-372790,4.732830353607108e-07,7.456283609717865e-06,71.5,17,APP;SRC;MMP3;PRKCA;PIK3R1;EGFR;TSHR;CREB1;CDK5;PIK3CA;CXCR1;ADORA3;GRK6;BTK;AKT1;NLRP3;MAPK1
Reactome,Biological Oxidations R-HSA-211859,5.742624264165698e-07,8.891166533139304e-06,128.24,10,CYP2C9;UGT1A1;MAOA;CYP1A2;CYP1A1;AHR;CYP2C19;CYP3A4;CYP19A1;PTGS1
Reactome,Infectious Disease R-HSA-5663205,6.212023954747651e-07,9.454911036209137e-06,59.94,20,GSK3B;CREBBP;KDM1A;SYK;SRC;PRKCA;EGFR;NFKB1;PTK2;TSHR;CREB1;PSMB5;BTK;AKT1;NLRP3;CTNNB1;MAPK1;SMN1;JAK2;JAK3
Reactome,Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,7.328619691047068e-07,1.0968500804267113e-05,224.58,7,SYK;PIK3CA;SRC;BTK;MAPK1;PIK3R1;PTK2
